,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hor Pixels,Ver Pixels,Rate,Scan  Type,Adopted,DMT ID,2 Byte Code,3 Byte Code,Type,Pixel Clock,HsyncPol,VsyncPol,Htotal,Haddr,Hblank,Hright,Hfront,Hsync,Hback,Hleft,Vtotal,Vaddr,Vblank,Vbottom,Vfront,Vsync,Vback,Vtop,Htotal (calc),Vtotal (calc),Pixel Clock (calc)
640,350,85,Noninterlaced,1999-03-01,0x01,,,non-cvt,31.500,Pos,Neg,832,640,192,0,32,64,96,0,445,350,95,0,32,3,60,0,832,445,31.470
640,400,85,Noninterlaced,1996-03-01,0x02,"0x31,0x19",,non-cvt,31.500,Neg,Pos,832,640,192,0,32,64,96,0,445,400,45,0,1,3,41,0,832,445,31.470
720,400,85,Noninterlaced,1996-03-01,0x03,,,non-cvt,35.500,Neg,Pos,936,720,216,0,36,72,108,0,446,400,46,0,1,3,42,0,936,446,35.484
640,480,60,Noninterlaced,,0x04,"0x31,0x40",,non-cvt,25.175,Neg,Neg,800,640,144,8,8,96,40,8,525,480,29,8,2,2,25,8,800,525,25.200
640,480,72,Noninterlaced,1990-11-11,0x05,"0x31,0x4c",,non-cvt,31.500,Neg,Neg,832,640,176,8,16,40,120,8,520,480,24,8,1,3,20,8,832,520,31.150
640,480,75,Noninterlaced,1993-10-04,0x06,"0x31,0x4f",,non-cvt,31.500,Neg,Neg,840,640,200,0,16,64,120,0,500,480,20,0,1,3,16,0,840,500,31.500
640,480,85,Noninterlaced,1996-03-01,0x07,"0x31,0x59",,non-cvt,36.000,Neg,Neg,832,640,192,0,56,56,80,0,509,480,29,0,1,3,25,0,832,509,35.996
800,600,56,Noninterlaced,1990-08-07,0x08,,,non-cvt,36.000,Pos,Pos,1024,800,224,0,24,72,128,0,625,600,25,0,1,2,22,0,1024,625,35.840
800,600,60,Noninterlaced,1990-08-07,0x09,"0x45,0x40",,non-cvt,40.000,Pos,Pos,1056,800,256,0,40,128,88,0,628,600,28,0,1,4,23,0,1056,628,39.790
800,600,72,Noninterlaced,1991-09-10,0x0a,"0x45,0x4c",,non-cvt,50.000,Pos,Pos,1040,800,240,0,56,120,64,0,666,600,66,0,37,6,23,0,1040,666,49.870
800,600,75,Noninterlaced,1993-10-04,0x0b,"0x45,0x4f",,non-cvt,49.500,Pos,Pos,1056,800,256,0,16,80,160,0,625,600,25,0,1,3,21,0,1056,625,49.500
800,600,85,Noninterlaced,1996-03-01,0x0c,"0x45,0x59",,non-cvt,56.250,Pos,Pos,1048,800,248,0,32,64,152,0,631,600,31,0,1,3,27,0,1048,631,56.209
800,600,120,Noninterlaced,2007-05-01,0x0d,,,cvt-rb,,,,,,,,,,,,,,,,,,,,,,
848,480,60,Noninterlaced,2003-08-21,0x0e,,,non-cvt,33.750,Pos,Pos,1088,848,240,0,16,112,112,0,517,480,37,0,6,8,23,0,1088,517,33.750
1024,768,43,Interlaced,,0x0f,,,non-cvt,44.900,Pos,Pos,1264,1024,240,0,8,176,56,0,,,,,,,,,1264,0,0.000
1024,768,60,Noninterlaced,1991-09-10,0x10,"0x61,0x40",,non-cvt,65.000,Neg,Neg,1344,1024,320,0,24,136,160,0,806,768,38,0,3,6,29,0,1344,806,64.996
1024,768,70,Noninterlaced,1991-08-09,0x11,"0x61,0x4a",,non-cvt,75.000,Neg,Neg,1328,1024,304,0,24,136,144,0,806,768,38,0,3,6,29,0,1328,806,74.926
1024,768,75,Noninterlaced,1993-10-04,0x12,"0x61,0x4f",,non-cvt,78.750,Pos,Pos,1312,1024,288,0,16,96,176,0,800,768,32,0,1,3,28,0,1312,800,78.720
1024,768,85,Noninterlaced,1996-03-01,0x13,"0x61,0x59",,non-cvt,94.500,Pos,Pos,1376,1024,352,0,48,96,208,0,808,768,40,0,1,3,36,0,1376,808,94.504
1024,768,120,Noninterlaced,2007-05-01,0x14,,,cvt-rb,,,,,,,,,,,,,,,,,,,,,,
1152,864,75,Noninterlaced,1996-03-01,0x15,"0x71,0x4f",,non-cvt,108.000,Pos,Pos,1600,1152,448,0,64,128,256,0,900,864,36,0,1,3,32,0,1600,900,108.000
1280,720,60,Noninterlaced,2009-11-17,0x55,"0x81,0xc0",,CEA-861,74.250,Pos,Pos,1650,1280,370,0,110,40,220,0,750,720,30,0,5,5,20,0,1650,750,74.250
1280,768,60,Noninterlaced,2003-08-21,0x16,,"0x7f,0x1c,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,,,
1280,768,60,Noninterlaced,2003-08-21,0x17,,"0x7f,0x1c,0x28",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,768,75,Noninterlaced,2003-08-21,0x18,,"0x7f,0x1c,0x44",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,768,85,Noninterlaced,2003-08-21,0x19,,"0x7f,0x1c,0x62",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,768,120,Noninterlaced,2007-05-01,0x1a,,,cvt-rb,,,,,,,,,,,,,,,,,,,,,,
1280,800,60,Noninterlaced,2007-05-01,0x1b,,"0x8f,0x18,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,,,
1280,800,60,Noninterlaced,2007-05-01,0x1c,"0x81,0x00","0x8f,0x18,0x28",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,800,75,Noninterlaced,2007-05-01,0x1d,"0x81,0x0f","0x8f,0x18,0x44",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,800,85,Noninterlaced,2007-05-01,0x1e,"0x81,0x19","0x8f,0x18,0x62",cvt,,,,,,,,,,,,,,,,,,,,,,
1280,800,120,Noninterlaced,2007-05-01,0x1f,,,cvt-rb,,,,,,,,,,,,,,,,,,,,,,
1280,960,60,Noninterlaced,1996-03-01,0x20,"0x81,0x40",,non-cvt,108.000,Pos,Pos,1800,1280,520,0,96,112,312,0,1000,960,40,0,1,3,36,0,1800,1000,108.000
1280,960,85,Noninterlaced,1996-03-01,0x21,"0x81,0x59",,non-cvt,148.500,Pos,Pos,1728,1280,448,0,64,160,224,0,1011,960,51,0,1,3,47,0,1728,1011,148.496
1280,960,120,Noninterlaced,2007-05-01,0x22,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1280,1024,60,Noninterlaced,1996-12-18,0x23,"0x81,0x80",,non-cvt,108.000,Pos,Pos,1688,1280,408,0,48,112,248,0,1066,1024,32,0,1,3,38,0,1688,1066,107.964
1280,1024,75,Noninterlaced,1993-10-04,0x24,"0x81,0x8f",,non-cvt,135.000,Pos,Pos,1688,1280,408,0,16,144,248,0,1066,1024,42,0,1,3,38,0,1688,1066,134.956
1280,1024,85,Noninterlaced,1996-03-01,0x25,"0x81,0x99",,non-cvt,157.500,Pos,Pos,1728,1280,448,0,64,160,224,0,1072,1024,48,0,1,3,44,0,1728,1072,157.455
1280,1024,120,Noninterlaced,2007-05-01,0x26,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1360,768,60,Noninterlaced,2003-08-21,0x27,,,non-cvt,85.500,Pos,Pos,1792,1360,432,0,64,112,256,0,795,768,27,0,3,6,18,0,1792,795,85.478
1360,768,120,Noninterlaced,2007-05-01,0x28,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1366,768,60,Noninterlaced,2008-11-17,0x51,,,non-cvt,85.500,Pos,Pos,1792,1366,426,0,70,143,213,0,798,768,30,0,3,3,24,0,1792,798,85.801
1366,768,60,Noninterlaced,2008-11-17,0x56,,,non-cvt,72.000,Pos,Pos,1500,1366,134,0,14,56,64,0,800,768,32,0,1,3,28,0,1500,800,72.000
1400,1050,60,Noninterlaced,2003-08-21,0x29,,"0x0c,0x20,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1400,1050,60,Noninterlaced,2003-08-21,0x2a,"0x90,0x40","0x0c,0x20,0x28",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1400,1050,75,Noninterlaced,2003-08-21,0x2b,"0x90,0x4f","0x0c,0x20,0x44",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1400,1050,85,Noninterlaced,2003-08-21,0x2c,"0x90,0x59","0x0c,0x20,0x62",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1400,1050,120,Noninterlaced,2007-05-01,0x2d,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1440,900,60,Noninterlaced,2004-10-24,0x2e,,"0xc1,0x18,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1440,900,60,Noninterlaced,2004-10-24,0x2f,"0x95,0x00","0xc1,0x18,0x28",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1440,900,75,Noninterlaced,2004-10-24,0x30,"0x95,0x0f","0xc1,0x18,0x44",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1440,900,85,Noninterlaced,2004-10-24,0x31,"0x95,0x19","0xc1,0x18,0x68",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1440,900,120,Noninterlaced,2007-05-01,0x32,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1600,900,60,Noninterlaced,2008-11-17,0x53,"0xa9,0xc0",,non-cvt,108.000,Pos,Pos,1800,1600,200,0,24,80,96,0,1000,900,100,0,1,3,96,0,1800,1000,108.000
1600,1200,60,Noninterlaced,1996-12-18,0x33,"0xa9,0x40",,non-cvt,162.000,Pos,Pos,2160,1600,560,0,64,192,304,0,1250,1200,50,0,1,3,46,0,2160,1250,162.000
1600,1200,65,Noninterlaced,1996-12-18,0x34,"0xa9,0x45",,non-cvt,175.500,Pos,Pos,2160,1600,560,0,64,192,304,0,1250,1200,50,0,1,3,46,0,2160,1250,175.500
1600,1200,70,Noninterlaced,1996-12-18,0x35,"0xa9,0x4a",,non-cvt,189.000,Pos,Pos,2160,1600,560,0,64,192,304,0,1250,1200,50,0,1,3,46,0,2160,1250,189.000
1600,1200,75,Noninterlaced,1996-12-18,0x36,"0xa9,0x4f",,non-cvt,202.500,Pos,Pos,2160,1600,560,0,64,192,304,0,1250,1200,50,0,1,3,46,0,2160,1250,202.500
1600,1200,85,Noninterlaced,1996-12-18,0x37,"0xa9,0x59",,non-cvt,229.500,Pos,Pos,2160,1600,560,0,64,192,304,0,1250,1200,50,0,1,3,46,0,2160,1250,229.500
1600,1200,120,Noninterlaced,2007-05-01,0x38,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1680,1050,60,Noninterlaced,2004-10-24,0x39,,"0x0c,0x28,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1680,1050,60,Noninterlaced,2004-10-24,0x3a,"0xb3,0x00","0x0c,0x28,0x28",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1680,1050,75,Noninterlaced,2004-10-24,0x3b,"0xb3,0x0f","0x0c,0x28,0x44",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1680,1050,85,Noninterlaced,2004-10-24,0x3c,"0xb3,0x19","0x0c,0x28,0x68",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1680,1050,120,Noninterlaced,2007-05-01,0x3d,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1792,1344,60,Noninterlaced,1998-09-17,0x3e,"0xc1,0x40",,non-cvt,204.750,Neg,Pos,2448,1792,656,0,128,200,328,0,1394,1344,50,0,1,3,46,0,2448,1394,204.751
1792,1344,75,Noninterlaced,1998-09-17,0x3f,"0xc1,0x4f",,non-cvt,261.000,Neg,Pos,2456,1792,664,0,96,216,352,0,1417,1344,73,0,1,3,69,0,2456,1417,261.011
1792,1344,75,Noninterlaced,2007-05-01,0x40,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1856,1392,60,Noninterlaced,1998-09-17,0x41,"0xc9,0x40",,non-cvt,218.250,Neg,Pos,2528,1856,672,0,96,224,352,0,1439,1392,47,0,1,3,43,0,2528,1439,218.268
1856,1392,75,Noninterlaced,1998-09-17,0x42,"0xc9,0x4f",,non-cvt,288.000,Neg,Pos,2560,1856,704,0,129,224,352,0,1500,1392,108,0,1,3,104,0,2561,1500,288.000
1856,1392,120,Noninterlaced,2007-05-01,0x43,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1080,60,Noninterlaced,2008-11-17,0x52,"0xd1,0xc0",,CEA-861,148.500,Pos,Pos,2200,1920,280,0,88,44,148,0,1125,1080,45,0,4,5,36,0,2200,1125,148.500
1920,1200,60,Noninterlaced,2003-08-21,0x44,,"0x57,0x28,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1200,60,Noninterlaced,2003-08-21,0x45,"0xd1,0x00","0x57,0x28,0x28",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1200,75,Noninterlaced,2003-08-21,0x46,"0xd1,0x0f","0x57,0x28,0x44",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1200,85,Noninterlaced,2003-08-21,0x47,"0xd1,0x19","0x57,0x28,0x62",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1200,120,Noninterlaced,2007-05-01,0x48,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
1920,1440,60,Noninterlaced,1998-09-17,0x49,"0xd1,0x40",,non-cvt,234.000,Neg,Pos,2600,1920,680,0,128,208,344,0,1500,1440,60,0,1,3,56,0,2600,1500,234.000
1920,1440,75,Noninterlaced,1998-09-17,0x4a,"0xd1,0x4f",,non-cvt,297.000,Neg,Pos,2640,1920,720,0,144,224,352,0,1500,1440,60,0,1,3,56,0,2640,1500,297.000
1920,1440,120,Noninterlaced,2007-05-01,0x4b,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
2048,1152,60,Noninterlaced,2008-11-17,0x54,"0xe1,0xc0",,non-cvt,162.000,Pos,Pos,2250,2048,202,0,26,80,96,0,1200,1152,48,0,1,3,44,0,2250,1200,162.000
2560,1600,60,Noninterlaced,2007-05-01,0x4c,,"0x1f,0x38,0x21",cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
2560,1600,60,Noninterlaced,2007-05-01,0x4d,,"0x1f,0x38,0x28",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
2560,1600,75,Noninterlaced,2007-05-01,0x4e,,"0x1f,0x38,0x44",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
2560,1600,85,Noninterlaced,2007-05-01,0x4f,,"0x1f,0x38,0x62",cvt,,,,,,,,,,,,,,,,,,,,0,0,0.000
2560,1600,120,Noninterlaced,2007-05-01,0x50,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
4096,2160,60,Noninterlaced,2007-05-01,0x57,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
4096,2160,59.94,Noninterlaced,2007-05-01,0x58,,,cvt-rb,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
